File,N.Sentences,N.words,N.syllables,Words.Per.Sentence,Syllables.Per.Word,Grade.Score
978.txt,60,745,1056,12.417,1.417,5.978
981.txt,68,948,1376,13.941,1.451,6.974
1002.txt,52,685,1134,13.173,1.655,9.082
1008.txt,42,722,1090,17.19,1.51,8.929
1010.txt,44,888,1384,20.182,1.559,10.672
1012.txt,34,266,366,7.824,1.376,3.697
1028.txt,86,1513,2384,17.593,1.576,9.864
1048.txt,54,927,1518,17.167,1.638,10.428
1075.txt,46,770,1111,16.739,1.443,7.964
1079.txt,49,399,598,8.143,1.499,5.271
1094.txt,58,967,1642,16.672,1.698,10.949
1099.txt,66,834,1397,12.636,1.675,9.104
1105.txt,49,651,924,13.286,1.419,6.34
1108.txt,40,772,1263,19.3,1.636,11.242
1117.txt,36,319,493,8.861,1.545,6.102
1151.txt,45,411,590,9.133,1.436,4.911
1186.txt,46,531,822,11.543,1.548,7.179
1188.txt,48,514,794,10.708,1.545,6.814
1193.txt,40,757,1312,18.925,1.733,12.242
1197.txt,49,657,1232,13.408,1.875,11.766
1216.txt,43,437,653,10.163,1.494,6.006
1222.txt,64,598,986,9.344,1.649,7.51
1230.txt,61,919,1508,15.066,1.641,9.648
1248.txt,42,712,1170,16.952,1.643,10.412
1250.txt,61,603,940,9.885,1.559,6.66
1252.txt,52,499,795,9.596,1.593,6.952
1270.txt,83,970,1734,11.687,1.788,10.062
1300.txt,61,835,1327,13.689,1.589,8.501
1311.txt,63,984,1543,15.619,1.568,9.005
1326.txt,60,895,1506,14.917,1.683,10.083
1327.txt,87,1299,2211,14.931,1.702,10.318
1331.txt,67,932,1577,13.91,1.692,9.801
1333.txt,47,422,582,8.979,1.379,4.186
1340.txt,52,974,1661,18.731,1.705,11.838
1346.txt,101,1529,2641,15.139,1.727,10.696
1347.txt,42,581,1004,13.833,1.728,10.196
1421.txt,36,481,757,13.361,1.574,8.192
1422.txt,77,896,1360,11.636,1.518,6.859
1430.txt,62,668,1039,10.774,1.555,6.966
1442.txt,50,660,1022,13.2,1.548,7.83
1477.txt,57,1137,2097,19.947,1.844,13.953
1478.txt,52,890,1650,17.115,1.854,12.961
1486.txt,42,627,1023,14.929,1.632,9.485
1505.txt,52,736,1162,14.154,1.579,8.56
1506.txt,74,1151,1923,15.554,1.671,10.191
1552.txt,52,950,1476,18.269,1.554,9.868
1559.txt,63,661,940,10.492,1.422,5.283
1575.txt,49,865,1390,17.653,1.607,10.257
1596.txt,82,970,1544,11.829,1.592,7.806
1599.txt,61,638,974,10.459,1.527,6.503
